英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
deer	dɪr	シカ	A deer suddenly ran across the road.	There are many deer in the park.	単数形も複数形も deer となる（単複同形）。	動物／農業
donkey	ˈdɑŋki	ロバ	The donkey carried the heavy bags.	He is as stubborn as a donkey.	馬に似た動物。頑固者の象徴とされることもある。	動物／農業
hippopotamus / hippo	ˌhɪpəˈpɑtəməs / ˈhɪpoʊ	カバ	The hippopotamus spends most of the day in water.	Look at the big hippo at the zoo.	日常会話では hippo と略されることが多い。	動物／農業
squirrel	ˈskwɜrəl	リス	A squirrel gathered nuts for winter.	I saw a squirrel in the tree.	発音が難しい単語（スクワーレルに近い）。	動物／農業
crane	kreɪn	ツル（鳥）、クレーン（機械）	The paper crane is a symbol of peace.	They used a crane to lift the steel.	鳥のツル。工事現場の「クレーン車」も同じ単語。	動物／農業
owl	aʊl	フクロウ	An owl hoots in the night.	The owl is a symbol of wisdom.	フクロウ。知恵の象徴とされる。	動物／農業
peacock	ˈpiˌkɑk	クジャク	The peacock displayed its beautiful feathers.	He is as proud as a peacock.	オスのクジャク（メスは peahen）。	動物／農業
a herd of cattle	ə hɜrd ʌv ˈkætəl	牛の群れ	The cowboy moved a herd of cattle.	A herd of elephants crossed the river.	herd: （牛や馬などの）群れ。cattle: （家畜の）牛（常に複数扱い）。	動物／農業
rabbits in the bushes	ˈræbɪts ɪn ðə ˈbʊʃəz	茂みの中のウサギ	We spotted some rabbits in the bushes.	The ball rolled into the bushes.	bush: 茂み、低木	動物／農業
a peacock's tail	ə ˈpikɑks teɪl	クジャクの尾	A peacock's tail is very colorful.	The dog wagged its tail.	tail: 尻尾（tale「物語」と同じ発音）。	動物／農業
a cat's paw	ə kæts pɔ	猫の足（前足）	The cat licked its paw.	There are paw prints on the floor.	paw: （犬や猫などの爪のある動物の）足	動物／農業
go duck hunting	goʊ dʌk ˈhʌntɪŋ	カモ猟に行く	They usually go duck hunting in the fall.	He bought a gun for duck hunting.	go -ing: 〜しに行く。duck: カモ、アヒル	動物／農業
shoot a deer	ʃut ə dɪr	シカを撃つ	The hunter tried to shoot a deer.	It is illegal to shoot a deer here.	shoot: 撃つ	動物／農業
milk goats and cows	mɪlk goʊts ænd kaʊz	ヤギや牛の乳を搾る	The farmer has to milk goats and cows every morning.	She learned how to milk a cow.	milk は動詞で「乳を搾る」という意味になる。	動物／農業
trap mice	træp maɪs	ネズミを罠で捕まえる	They set up cheese to trap mice.	The hunter trapped a bear.	trap: 罠（名詞）、罠で捕まえる（動詞）。miceはmouseの複数形。	動物／農業
a pig farm	ə pɪg fɑrm	養豚場	He works on a pig farm.	The smell from the pig farm was strong.	farm: 農場	動物／農業
pull up weeds	pʊl ʌp widz	雑草を引き抜く	I spent the morning pulling up weeds in the garden.	It is hard work to pull up weeds.	pull up: 引き抜く。weed: 雑草	動物／農業
dig up a root	dɪg ʌp ə rut	根を掘り起こす	You need to dig up a root completely.	Pigs dig up roots to eat.	dig: 掘る。root: 根	動物／農業
tie with rope	taɪ wɪð roʊp	ロープで縛る	Tie the boxes securely with rope.	He tied his shoes.	tie: 結ぶ、縛る。rope: ロープ、縄	動物／農業
rows of corn	roʊz ʌv kɔrn	トウモロコシの列	There are endless rows of corn in the field.	We sat in the front row.	row: 列（発音は「ロウ」）。	動物／農業
a bird's nest	ə bɜrdz nɛst	鳥の巣	I found a bird's nest in the tree.	The mother bird brought food to the nest.	nest: （鳥や昆虫の）巣	動物／農業
dig a deep hole	dɪg ə dip hoʊl	深い穴を掘る	The dog loves to dig a deep hole in the yard.	They dug a deep hole to plant the tree.	dig: 掘る（過去形 dug）。hole: 穴	動物／農業
jump over a ditch	dʒʌmp ˈoʊvər ə dɪtʃ	溝（水路）を飛び越える	The horse can jump over a ditch easily.	He dropped his keys in the ditch.	ditch: 溝、用水路	動物／農業
dig with a spade	dɪg wɪð ə speɪd	シャベル（すき）で掘る	You need to dig with a spade to plant the flowers.	Pass me the spade.	spade: （足をかけて掘る）シャベル、すき。トランプのスペード。	動物／農業
the bottom of the ladder	ðə ˈbɑtəm ʌv ðə ˈlædər	はしごの一番下（底）	He held the bottom of the ladder for me.	Start from the bottom of the ladder.	bottom: 底、一番下。ladder: はしご	動物／農業
a heap of hay	ə hip ʌv heɪ	干し草の山	The children played in a heap of hay.	There is a heap of laundry on the bed.	heap: 積み重なった山。hay: 干し草	動物／農業
sow seeds in the spring	soʊ sidz ɪn ðə sprɪŋ	春に種をまく	Farmers sow seeds in the spring.	As you sow, so shall you reap.	sow: 種をまく（発音は「ソウ」）。seed: 種	動物／農業
a field of golden grain	ə fild ʌv ˈgoʊldən greɪn	黄金色の穀物（麦）畑	The wind blew across a field of golden grain.	They harvest the grain in autumn.	field: 畑、野原。grain: 穀物	動物／農業
a forest of tall pines	ə ˈfɔrəst ʌv tɔl paɪnz	高い松の森	They hiked through a forest of tall pines.	Pine needles covered the ground.	pine: 松の木（パイナップルは「松ぼっくり」の形に由来）。	動物／農業
a splendid harvest	ə ˈsplɛndɪd ˈhɑrvəst	見事な（素晴らしい）収穫	We celebrate a splendid harvest this year.	The weather helped produce a splendid harvest.	splendid: 素晴らしい、見事な。harvest: 収穫	動物／農業
a poor crop	ə pʊr krɑp	不作（貧弱な農作物）	The lack of rain resulted in a poor crop.	Rice is the main crop of this country.	poor: （質や量が）不十分な、貧しい。crop: 農作物	動物／農業
intensive agriculture	ɪnˈtɛnsɪv ˈægrɪˌkʌltʃər	集約農業	They practice intensive agriculture to increase yield.	Intensive agriculture requires a lot of water.	intensive: 集中的な。agriculture: 農業	動物／農業
rake up dead leaves	reɪk ʌp dɛd livz	枯れ葉を熊手でかき集める	I have to rake up dead leaves in the yard.	He bought a new rake.	rake: 熊手、熊手で集める。leaves は leaf（葉）の複数形。	動物／農業
thorns on the rose stem	θɔrnz ɑn ðə roʊz stɛm	バラの茎にあるトゲ	Be careful of the thorns on the rose stem.	Every rose has its thorns.	thorn: トゲ。stem: 茎	動物／農業
the girl in a park	ðə gɜrl ɪn ə pɑrk	公園にいる女の子	The girl in a park is reading a book.	We walked in a park.	in は「空間の中」にいるイメージを表す。	場所の表現
the picture on the wall	ðə ˈpɪktʃər ɑn ðə wɔl	壁にかかっている絵	The picture on the wall is beautiful.	Hang the clock on the wall.	on は「表面に接触している」イメージを表す。	場所の表現
the book under the table	ðə bʊk ˈʌndər ðə ˈteɪbəl	テーブルの下にある本	I found the book under the table.	The dog is hiding under the table.	under は「何かの真下」にあるイメージを表す。	場所の表現
the posters throughout the town	ðə ˈpoʊstərz θruˈaʊt ðə taʊn	町中に貼られているポスター	They put the posters throughout the town.	The news spread throughout the town.	throughout: 〜の至る所に、〜の間ずっと	場所の表現
the school by the sea	ðə skul baɪ ðə si	海のそばの学校	I want to go to the school by the sea.	They live in a house by the sea.	by は「すぐそばに」という近接を表す。	場所の表現
in the shade	ɪn ðə ʃeɪd	日陰で	Let's rest in the shade of that tree.	It is cooler in the shade.	shade: 日陰（shadow は人や物の「影」の形を指す）。	場所の表現
in a local park	ɪn ə ˈloʊkəl pɑrk	地元の公園で	They are playing soccer in a local park.	We met in a local park.	local: 地元の、局所的な	場所の表現
on the wall	ɑn ðə wɔl	壁に	There is a spider on the wall.	She leaned on the wall.	※788番の類似。垂直な壁でも「接触」していれば on。	場所の表現
in the kitchen	ɪn ðə ˈkɪtʃən	キッチン（台所）で	My mother is cooking in the kitchen.	Leave the dishes in the kitchen.		場所の表現
under the table	ˈʌndər ðə ˈteɪbəl	テーブルの下で	My cat sleeps under the table.	He kicked my leg under the table.	※789番の類似。	場所の表現
inside a pipe	ɪnˈsaɪd ə paɪp	パイプ（管）の内側で	Water flows inside a pipe.	A mouse was hiding inside a pipe.	inside: 〜の内部に（inより「内側」を強調する）。	場所の表現
the rug on the floor	ðə rʌg ɑn ðə flɔr	床の上の敷物（ラグ）	Don't spill juice on the rug on the floor.	They sat on the rug on the floor.	rug: （部屋の一部に敷く）敷物、ラグ。floor: 床	場所の表現
at an art museum	æt ən ɑrt mjuˈziəm	美術館で	We spent the whole day at an art museum.	He works at an art museum.	at は「地点」を指し示すイメージを表す。	場所の表現
in front of the restaurant	ɪn frʌnt ʌv ðə ˈrɛstəˌrɑnt	レストランの前で	I will wait for you in front of the restaurant.	There is a bus stop in front of the restaurant.	in front of: 〜の前に	場所の表現
between first base and second base	bɪˈtwin fɜrst beɪs ænd ˈsɛkənd beɪs	一塁と二塁の間に	The ball rolled between first base and second base.	He stood between first base and second base.	between A and B: AとBの間に	場所の表現
on the east coast	ɑn ði ist koʊst	東海岸に	New York is on the east coast.	He lives on the east coast of Australia.	coast: 海岸。west coast（西海岸）もよく使われる。	場所の表現
on the west side	ɑn ðə wɛst saɪd	西側に	The sun sets on the west side of the building.	Their office is on the west side of town.	west: 西	場所の表現
north of Detroit	nɔrθ ʌv dɪˈtrɔɪt	デトロイトの北に	The town is located north of Detroit.	They traveled north of Detroit.	north: 北	場所の表現
south of Miami	saʊθ ʌv maɪˈæmi	マイアミの南に	The island is just south of Miami.	They sailed south of Miami.	south: 南	場所の表現
throughout the world	θruˈaʊt ðə wɜrld	世界中で	English is spoken throughout the world.	The brand is famous throughout the world.	throughout: 〜の至る所で（all over the world と同義）。	場所の表現
in the far distance	ɪn ðə fɑr ˈdɪstəns	遠くに、はるか彼方に	We could see mountains in the far distance.	A ship appeared in the far distance.	distance: 距離、遠方	場所の表現
in the opposite direction	ɪn ði ˈɑpəzət dɪˈrɛkʃən	反対の方向に	He walked away in the opposite direction.	The cars were moving in the opposite direction.	opposite: 反対の。direction: 方向	場所の表現
do away with ceremonies	du əˈweɪ wɪð ˈsɛrəˌmoʊniz	儀式（形式）を廃止する	The new principal decided to do away with ceremonies.	They did away with the old rules.	do away with: 〜を廃止する、なくす	大切な基本動詞
do over your homework	du ˈoʊvər jʊər ˈhoʊmˌwɜrk	宿題をやり直す	The teacher told him to do over your homework.	I had to do over my homework.	do over: 〜をやり直す	大切な基本動詞
do without lunch	du wɪˈðaʊt lʌntʃ	昼食なしですます	I am so busy I have to do without lunch today.	We can do without his help.	do without: 〜なしですます	大切な基本動詞
set out basic rules	sɛt aʊt ˈbeɪsɪk rulz	基本的なルールを定める（提示する）	The teacher set out basic rules on the first day.	The document sets out basic rules for employees.	set out: （ルールや計画を）明確に示す、出発する	大切な基本動詞
set up a new company	sɛt ʌp ə nu ˈkʌmpəni	新しい会社を設立する（立ち上げる）	She left her job to set up a new company.	They set up a committee.	set up: 設立する、組み立てる	大切な基本動詞
set off early in the morning	sɛt ɔf ˈɜrli ɪn ðə ˈmɔrnɪŋ	朝早くに出発する	We need to set off early in the morning to beat traffic.	They set off on a long journey.	set off: 出発する（set out と同義）。	大切な基本動詞
